Time (s),Altitude (m),Radius (m),Radial Velocity (m/s),True Anomoly (rad),Angular Velocity (rad/s)
32678000.0,285035.935698526,6663135.935698526,-0.050295476860446844,37152.044657451435,0.0011607818848531862
32680000.0,284934.3025775207,6663034.302577521,-0.05109773058404573,37154.36624772692,0.0011608084857032167
32682000.0,284832.7071819566,6662932.707181957,-0.05046321370630808,37156.687891344445,0.0011608350409446323
32684000.0,284731.3589022402,6662831.35890224,-0.05115537566287489,37159.00958778221,0.0011608614776893642
32686000.0,284628.34174095374,6662728.341740954,-0.051504223584511205,37161.331337687036,0.0011608884631191085
32688000.0,284526.0226494651,6662626.022649465,-0.050969061101175474,37163.65314139832,0.0011609151721139873
32690000.0,284423.1493503228,6662523.149350323,-0.05201712454463295,37165.97499848471,0.0011609420410948433
32692000.0,284318.9623593725,6662418.9623593725,-0.051825181102147386,37168.29690989135,0.001160969334138671
32694000.0,284215.79020630475,6662315.790206305,-0.051706180282695156,37170.61887548736,0.001160996239626564
32696000.0,284111.19069858454,6662211.190698585,-0.05273228559152078,37172.94089521129,0.0011610236085661894
32698000.0,284006.21721256245,6662106.217212562,-0.05211375833193784,37175.26296998217,0.0011610510732222913
32700000.0,283901.80224217195,6662001.802242172,-0.052651376862709785,37177.585099303375,0.0011610783086291726
32702000.0,283795.58770964574,6661895.587709646,-0.053216019771779255,37179.907283683984,0.001161106136304748
32704000.0,283689.90547017474,6661789.905470175,-0.05259613400368322,37182.22952365197,0.001161133742995032
32706000.0,283583.85327567346,6661683.853275673,-0.053584694765419986,37184.55181871959,0.001161161443257942
32708000.0,283476.3694649497,6661576.36946495,-0.05354618951318554,37186.87416978425,0.0011611896065826931
32710000.0,283369.77776083257,6661469.777760833,-0.05334818619928827,37189.19657684929,0.001161217422691033
32712000.0,283261.9929595068,6661361.992959507,-0.054365212897336264,37191.519039768784,0.0011612456184256388
32714000.0,283153.47249415144,6661253.472494151,-0.053937732358083204,37193.841559485,0.0011612740336635233
32716000.0,283045.64109571,6661145.64109571,-0.054234742749148045,37196.16413566135,0.0011613021716244526
32718000.0,282936.18369010836,6661036.183690108,-0.05500476674414718,37198.48676858228,0.0011613308391755586
32720000.0,282826.7449500151,6660926.744950015,-0.05443155043065818,37200.80945896422,0.0011613594622945978
32722000.0,282717.3833571719,6660817.383357172,-0.055186882183985334,37203.13220635978,0.001161388020601807
32724000.0,282606.38707508985,6660706.38707509,-0.05545982419956414,37205.45501146572,0.0011614171104946656
32726000.0,282496.0439881934,6660596.043988193,-0.055103107392789716,37207.77787456488,0.0011614459337722799
32728000.0,282384.90038307477,6660484.900383075,-0.05610976471981379,37210.100795376195,0.0011614749973342423
32730000.0,282272.64071044326,6660372.640710443,-0.05587287164107087,37212.42377482375,0.0011615044105606357
32732000.0,282161.125852366,6660261.125852366,-0.05595887982367695,37214.746812758065,0.001161533524281502
32734000.0,282048.13913858496,6660148.139138585,-0.05686309405621661,37217.06990928839,0.0011615631113691001
32736000.0,281934.81555135455,6660034.815551355,-0.056364664837163896,37219.3930652484,0.0011615927752984445
32738000.0,281821.8101436952,6659921.810143695,-0.056939220899694366,37221.71628024757,0.0011616222875443973
32740000.0,281707.0899460092,6659807.089946009,-0.05745396858236516,37224.03955483772,0.0011616523567642176
32742000.0,281592.761100105,6659692.761100105,-0.057009900699575886,37226.3628895094,0.0011616822477548106
32744000.0,281477.9173699664,6659577.917369966,-0.057941512278611135,37228.6862839247,0.0011617122766029722
32746000.0,281361.7363440767,6659461.736344077,-0.05794919325947327,37231.009738938934,0.0011617427295524886
32748000.0,281246.2102515977,6659346.210251598,-0.05785440849324143,37233.33325460326,0.0011617729112598334
32750000.0,281129.4708904093,6659229.470890409,-0.05880283188484533,37235.65683087528,0.0011618034733307068
32752000.0,281012.0185007369,6659112.018500737,-0.05850066975983438,37237.98046863855,0.0011618342405121565
32754000.0,280894.9633339178,6658994.963333918,-0.05884280045664319,37240.30416767025,0.0011618648252575202
32756000.0,280776.3555410467,6658876.355541047,-0.05954944960505335,37242.62792832272,0.0011618959075325593
